Monitoring sys_clone events...
Process zsh (PID: 15685, PPID: 15684) called sys_clone
Process zsh (PID: 15684, PPID: 15679) called sys_clone
Process zsh (PID: 15679, PPID: 15629) called sys_clone
Process zsh (PID: 15688, PPID: 15679) called sys_clone
Process zsh (PID: 15688, PPID: 15679) called sys_clone
Process zsh (PID: 15679, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15692, PPID: 15629) called sys_clone
Process zsh (PID: 15693, PPID: 15692) called sys_clone
Process zsh (PID: 15694, PPID: 15693) called sys_clone
Process zsh (PID: 15693, PPID: 15692) called sys_clone
Process zsh (PID: 15692, PPID: 15629) called sys_clone
Process zsh (PID: 15697, PPID: 15692) called sys_clone
Process zsh (PID: 15697, PPID: 15692) called sys_clone
Process zsh (PID: 15698, PPID: 15697) called sys_clone
Process zsh (PID: 15692, PPID: 15629) called sys_clone
Process zsh (PID: 15701, PPID: 15692) called sys_clone
Process zsh (PID: 15701, PPID: 15692) called sys_clone
Process zsh (PID: 15692, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15705, PPID: 15629) called sys_clone
Process zsh (PID: 15705, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15708, PPID: 15629) called sys_clone
Process zsh (PID: 15708, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15711, PPID: 15629) called sys_clone
Process zsh (PID: 15711, PPID: 15629) called sys_clone
Process zsh (PID: 15712, PPID: 15711) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15715, PPID: 15629) called sys_clone
Process zsh (PID: 15715, PPID: 15629) called sys_clone
Process zsh (PID: 15715, PPID: 15629) called sys_clone
Process zsh (PID: 15715, PPID: 15629) called sys_clone
Process zsh (PID: 15629, PPID: 15628) called sys_clone
Process zsh (PID: 15587, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15722, PPID: 15523) called sys_clone
Process zsh (PID: 15723, PPID: 15722) called sys_clone
Process zsh (PID: 15722, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15726, PPID: 15523) called sys_clone
Process zsh (PID: 15727, PPID: 15726) called sys_clone
Process zsh (PID: 15726, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15730, PPID: 15523) called sys_clone
Process zsh (PID: 15731, PPID: 15730) called sys_clone
Process zsh (PID: 15730, PPID: 15523) called sys_clone
Process zsh (PID: 15733, PPID: 15730) called sys_clone
Process zsh (PID: 15730, PPID: 15523) called sys_clone
Process zsh (PID: 15735, PPID: 15730) called sys_clone
Process zsh (PID: 15736, PPID: 15735) called sys_clone
Process zsh (PID: 15735, PPID: 15730) called sys_clone
Process zsh (PID: 15737, PPID: 15736) called sys_clone
Process zsh (PID: 15736, PPID: 15735) called sys_clone
Process zsh (PID: 15740, PPID: 15736) called sys_clone
Process zsh (PID: 15736, PPID: 15735) called sys_clone
Process zsh (PID: 15742, PPID: 15736) called sys_clone
Process zsh (PID: 15736, PPID: 15735) called sys_clone
Process zsh (PID: 15744, PPID: 15736) called sys_clone
Process zsh (PID: 15736, PPID: 15735) called sys_clone
Process zsh (PID: 15746, PPID: 15736) called sys_clone
Process zsh (PID: 15736, PPID: 15735) called sys_clone
Process zsh (PID: 15748, PPID: 15736) called sys_clone
Process zsh (PID: 15749, PPID: 15748) called sys_clone
Process zsh (PID: 15750, PPID: 15749) called sys_clone
Process zsh (PID: 15750, PPID: 15749) called sys_clone
Process zsh (PID: 15751, PPID: 15750) called sys_clone
Process zsh (PID: 15750, PPID: 15749) called sys_clone
Process zsh (PID: 15753, PPID: 15751) called sys_clone
Process zsh (PID: 15751, PPID: 15750) called sys_clone
Process zsh (PID: 15756, PPID: 15751) called sys_clone
Process zsh (PID: 15757, PPID: 15756) called sys_clone
Process zsh (PID: 15756, PPID: 15751) called sys_clone
Process zsh (PID: 15751, PPID: 15750) called sys_clone
Process zsh (PID: 15748, PPID: 15736) called sys_clone
Process zsh (PID: 15761, PPID: 15748) called sys_clone
Process zsh (PID: 15748, PPID: 15736) called sys_clone
Process zsh (PID: 15763, PPID: 15748) called sys_clone
Process zsh (PID: 15748, PPID: 15736) called sys_clone
Process zsh (PID: 15736, PPID: 15735) called sys_clone
Process zsh (PID: 15766, PPID: 15736) called sys_clone
Process zsh (PID: 15767, PPID: 15766) called sys_clone
Process zsh (PID: 15768, PPID: 15767) called sys_clone
Process zsh (PID: 15767, PPID: 15766) called sys_clone
Process zsh (PID: 15769, PPID: 15768) called sys_clone
Process zsh (PID: 15768, PPID: 15767) called sys_clone
Process zsh (PID: 15766, PPID: 15736) called sys_clone
Process zsh (PID: 15736, PPID: 15735) called sys_clone
Process zsh (PID: 15774, PPID: 15736) called sys_clone
Process zsh (PID: 15775, PPID: 15774) called sys_clone
Process zsh (PID: 15776, PPID: 15775) called sys_clone
Process zsh (PID: 15775, PPID: 15774) called sys_clone
Process zsh (PID: 15774, PPID: 15736) called sys_clone
Process zsh (PID: 15736, PPID: 15735) called sys_clone
Process zsh (PID: 15780, PPID: 15736) called sys_clone
Process zsh (PID: 15781, PPID: 15780) called sys_clone
Process zsh (PID: 15780, PPID: 15736) called sys_clone
Process zsh (PID: 15736, PPID: 15735) called sys_clone
Process zsh (PID: 15784, PPID: 15736) called sys_clone
Process zsh (PID: 15784, PPID: 15736) called sys_clone
Process zsh (PID: 15786, PPID: 15784) called sys_clone
Process zsh (PID: 15784, PPID: 15736) called sys_clone
Process zsh (PID: 15736, PPID: 15735) called sys_clone
Process zsh (PID: 15730, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15791, PPID: 15523) called sys_clone
Process zsh (PID: 15792, PPID: 15791) called sys_clone
Process zsh (PID: 15791, PPID: 15523) called sys_clone
Process zsh (PID: 15794, PPID: 15791) called sys_clone
Process zsh (PID: 15795, PPID: 15794) called sys_clone
Process zsh (PID: 15794, PPID: 15791) called sys_clone
Process zsh (PID: 15796, PPID: 15795) called sys_clone
Process zsh (PID: 15795, PPID: 15794) called sys_clone
Process zsh (PID: 15799, PPID: 15795) called sys_clone
Process zsh (PID: 15795, PPID: 15794) called sys_clone
Process zsh (PID: 15801, PPID: 15795) called sys_clone
Process zsh (PID: 15795, PPID: 15794) called sys_clone
Process zsh (PID: 15803, PPID: 15795) called sys_clone
Process zsh (PID: 15795, PPID: 15794) called sys_clone
Process zsh (PID: 15805, PPID: 15795) called sys_clone
Process zsh (PID: 15795, PPID: 15794) called sys_clone
Process zsh (PID: 15807, PPID: 15795) called sys_clone
Process zsh (PID: 15808, PPID: 15807) called sys_clone
Process zsh (PID: 15809, PPID: 15808) called sys_clone
Process zsh (PID: 15809, PPID: 15808) called sys_clone
Process zsh (PID: 15810, PPID: 15809) called sys_clone
Process zsh (PID: 15809, PPID: 15808) called sys_clone
Process zsh (PID: 15812, PPID: 15810) called sys_clone
Process zsh (PID: 15810, PPID: 15809) called sys_clone
Process zsh (PID: 15815, PPID: 15810) called sys_clone
Process zsh (PID: 15816, PPID: 15815) called sys_clone
Process zsh (PID: 15815, PPID: 15810) called sys_clone
Process zsh (PID: 15810, PPID: 15809) called sys_clone
Process zsh (PID: 15807, PPID: 15795) called sys_clone
Process zsh (PID: 15820, PPID: 15807) called sys_clone
Process zsh (PID: 15807, PPID: 15795) called sys_clone
Process zsh (PID: 15822, PPID: 15807) called sys_clone
Process zsh (PID: 15807, PPID: 15795) called sys_clone
Process zsh (PID: 15795, PPID: 15794) called sys_clone
Process zsh (PID: 15825, PPID: 15795) called sys_clone
Process zsh (PID: 15826, PPID: 15825) called sys_clone
Process zsh (PID: 15827, PPID: 15826) called sys_clone
Process zsh (PID: 15826, PPID: 15825) called sys_clone
Process zsh (PID: 15828, PPID: 15827) called sys_clone
Process zsh (PID: 15827, PPID: 15826) called sys_clone
Process zsh (PID: 15825, PPID: 15795) called sys_clone
Process zsh (PID: 15795, PPID: 15794) called sys_clone
Process zsh (PID: 15833, PPID: 15795) called sys_clone
Process zsh (PID: 15834, PPID: 15833) called sys_clone
Process zsh (PID: 15834, PPID: 15833) called sys_clone
Process zsh (PID: 15835, PPID: 15834) called sys_clone
Process zsh (PID: 15833, PPID: 15795) called sys_clone
Process zsh (PID: 15795, PPID: 15794) called sys_clone
Process zsh (PID: 15839, PPID: 15795) called sys_clone
Process zsh (PID: 15840, PPID: 15839) called sys_clone
Process zsh (PID: 15839, PPID: 15795) called sys_clone
Process zsh (PID: 15795, PPID: 15794) called sys_clone
Process zsh (PID: 15843, PPID: 15795) called sys_clone
Process zsh (PID: 15843, PPID: 15795) called sys_clone
Process zsh (PID: 15845, PPID: 15843) called sys_clone
Process zsh (PID: 15843, PPID: 15795) called sys_clone
Process zsh (PID: 15795, PPID: 15794) called sys_clone
Process zsh (PID: 15791, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15850, PPID: 15523) called sys_clone
Process zsh (PID: 15851, PPID: 15850) called sys_clone
Process zsh (PID: 15850, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15854, PPID: 15523) called sys_clone
Process zsh (PID: 15854, PPID: 15523) called sys_clone
Process zsh (PID: 15856, PPID: 15854) called sys_clone
Process zsh (PID: 15854, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15859, PPID: 15523) called sys_clone
Process zsh (PID: 15859, PPID: 15523) called sys_clone
Process zsh (PID: 15861, PPID: 15859) called sys_clone
Process zsh (PID: 15859, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15864, PPID: 15523) called sys_clone
Process zsh (PID: 15865, PPID: 15864) called sys_clone
Process zsh (PID: 15864, PPID: 15523) called sys_clone
Process zsh (PID: 15864, PPID: 15523) called sys_clone
Process zsh (PID: 15868, PPID: 15864) called sys_clone
Process zsh (PID: 15864, PPID: 15523) called sys_clone
Process zsh (PID: 15864, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15872, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15874, PPID: 15523) called sys_clone
Process zsh (PID: 15874, PPID: 15523) called sys_clone
Process zsh (PID: 15875, PPID: 15874) called sys_clone
Process zsh (PID: 15874, PPID: 15523) called sys_clone
Process zsh (PID: 15874, PPID: 15523) called sys_clone
Process zsh (PID: 15878, PPID: 15874) called sys_clone
Process zsh (PID: 15874, PPID: 15523) called sys_clone
Process zsh (PID: 15874, PPID: 15523) called sys_clone
Process zsh (PID: 15881, PPID: 15874) called sys_clone
Process zsh (PID: 15874, PPID: 15523) called sys_clone
Process zsh (PID: 15874, PPID: 15523) called sys_clone
Process zsh (PID: 15884, PPID: 15874) called sys_clone
Process zsh (PID: 15874, PPID: 15523) called sys_clone
Process zsh (PID: 15874, PPID: 15523) called sys_clone
Process zsh (PID: 15887, PPID: 15874) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15890, PPID: 15523) called sys_clone
Process zsh (PID: 15891, PPID: 15890) called sys_clone
Process zsh (PID: 15890, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15894, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15896, PPID: 15523) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15523, PPID: 7600) called sys_clone
Process zsh (PID: 15900, PPID: 15523) called sys_clone
Process zsh (PID: 15900, PPID: 15523) called sys_clone
Process zsh (PID: 15901, PPID: 15900) called sys_clone
Process zsh (PID: 15542, PPID: 2267) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
Process gitstatusd-linu (PID: 15904, PPID: 15542) called sys_clone
